O2 - (%),CO AF,CO - (ppm),CO2 - (%),X Air - (%),Draft - (iwg),NOx,Eff. (eta+) - (%),Eff. (eta) - (%),T flue - (°F),T air - (°F),delta T - (°F),Fan ON,FLAME,Steady State,Loop Data
20.79,0,0,0.12,--,0.09,--,95.5,105.4,73.9,77.3,-3.3,0,0,0,
20.79,0,0,0.12,--,0.094,--,96.5,106.5,73.3,77.3,-3.9,0,0,0,
20.78,0,0,0.12,--,0.096,--,97.2,107.3,72.9,77.3,-4.5,0,0,0,
20.79,0,0,0.12,--,0.095,--,98.2,108.4,72.4,77.4,-5,0,0,0,
20.8,0,0,0.11,--,0.09,--,99.3,109.7,72,77.4,-5.4,0,0,0,
20.79,0,0,0.12,--,0.09,--,99.3,109.6,71.7,77.3,-5.6,0,0,0,
20.79,0,0,0.12,--,0.091,--,100,110.4,71.4,77.4,-6,0,0,0,
20.78,0,0,0.12,--,0.095,--,99.9,110.4,71.2,77.3,-6.1,0,0,0,
20.79,0,0,0.11,--,0.095,--,--,111.7,70.9,77.4,-6.5,0,0,0,
20.8,0,0,0.11,--,0.089,--,--,112.1,70.7,77.4,-6.7,0,0,0,
20.8,0,0,0.11,--,0.088,--,--,113,70.3,77.3,-7,0,0,0,
20.79,0,0,0.12,--,0.093,--,--,113,70,77.4,-7.4,0,0,0,
20.79,0,0,0.12,--,0.098,--,--,113.6,69.7,77.3,-7.6,0,0,0,
20.8,0,0,0.11,--,0.092,--,--,114.7,69.5,77.3,-7.8,0,0,0,
20.8,0,0,0.11,--,0.042,--,--,114.2,69.5,77.3,-7.8,0,0,0,
20.8,0,0,0.11,--,0.016,--,--,114.5,69.6,77.4,-7.7,0,0,0,
20.81,0,0,0.11,--,0,--,--,114.4,69.8,77.3,-7.5,0,0,0,
20.8,0,0,0.11,--,0,--,--,113.3,70,77.3,-7.3,0,0,0,
20.8,0,0,0.11,--,0,--,--,112.7,70.2,77.3,-7.1,0,0,0,
20.8,0,0,0.11,--,0,--,--,113.1,70.4,77.3,-7,0,0,0,
20.82,0,0,0.1,--,0,--,--,114.1,70.4,77.3,-6.9,0,0,0,
20.8,0,0,0.11,--,0,--,--,112.7,70.3,77.3,-7,0,0,0,
20.8,0,0,0.11,--,0,--,--,113.2,70.4,77.4,-7,0,0,0,
20.8,0,0,0.11,--,0,--,--,112.9,70.5,77.3,-6.8,0,0,0,
20.8,0,0,0.11,--,0,--,--,112.3,70.5,77.3,-6.8,0,0,0,
20.81,0,0,0.11,--,0,--,--,114.4,69.8,77.3,-7.5,0,0,0,
20.8,0,0,0.11,--,0,--,--,113.3,70,77.3,-7.3,0,0,0,
20.8,0,0,0.11,--,0,--,--,112.7,70.2,77.3,-7.1,0,0,0,
20.8,0,0,0.11,--,0,--,--,113.1,70.4,77.3,-7,0,0,0,
20.82,0,0,0.1,--,0,--,--,114.1,70.4,77.3,-6.9,0,0,0,
20.8,0,0,0.11,--,0,--,--,112.7,70.3,77.3,-7,0,0,0,
20.8,0,0,0.11,--,0,--,--,113.2,70.4,77.4,-7,0,0,0,
20.8,0,0,0.11,--,0,--,--,112.9,70.5,77.3,-6.8,0,0,0,
20.8,0,0,0.11,--,0,--,--,112.3,70.5,77.3,-6.8,0,0,0,
20.81,0,0,0.11,--,0,--,--,114.4,69.8,77.3,-7.5,0,0,0,
20.8,0,0,0.11,--,0,--,--,113.3,70,77.3,-7.3,0,0,0,
20.8,0,0,0.11,--,0,--,--,112.7,70.2,77.3,-7.1,0,0,0,
20.8,0,0,0.11,--,0,--,--,113.1,70.4,77.3,-7,0,0,0,
20.82,0,0,0.1,--,0,--,--,114.1,70.4,77.3,-6.9,0,0,0,
20.8,0,0,0.11,--,0,--,--,112.7,70.3,77.3,-7,0,0,0,
20.8,0,0,0.11,--,0,--,--,113.2,70.4,77.4,-7,0,0,0,
20.8,0,0,0.11,--,0,--,--,112.9,70.5,77.3,-6.8,0,0,0,
20.8,0,0,0.11,--,0,--,--,112.3,70.5,77.3,-6.8,0,0,0,
20.81,0,0,0.11,--,0,--,--,114.4,69.8,77.3,-7.5,0,0,0,
20.8,0,0,0.11,--,0,--,--,113.3,70,77.3,-7.3,0,0,0,
20.8,0,0,0.11,--,0,--,--,112.7,70.2,77.3,-7.1,0,0,0,
20.8,0,0,0.11,--,0,--,--,113.1,70.4,77.3,-7,0,0,0,
20.82,0,0,0.1,--,0,--,--,114.1,70.4,77.3,-6.9,0,0,0,
20.8,0,0,0.11,--,0,--,--,112.7,70.3,77.3,-7,0,0,0,
20.8,0,0,0.11,--,0,--,--,113.2,70.4,77.4,-7,0,0,0,
20.8,0,0,0.11,--,0,--,--,112.9,70.5,77.3,-6.8,0,0,0,
20.8,0,0,0.11,--,0,--,--,112.3,70.5,77.3,-6.8,0,0,0,
20.81,0,0,0.11,--,0,--,--,114.4,69.8,77.3,-7.5,0,0,0,
20.8,0,0,0.11,--,0,--,--,113.3,70,77.3,-7.3,0,0,0,
20.8,0,0,0.11,--,0,--,--,112.7,70.2,77.3,-7.1,0,0,0,
20.8,0,0,0.11,--,0,--,--,113.1,70.4,77.3,-7,0,0,0,
20.82,0,0,0.1,--,0,--,--,114.1,70.4,77.3,-6.9,0,0,0,loop
20.8,0,0,0.11,--,0,--,--,112.7,70.3,77.3,-7,0,0,0,
20.8,0,0,0.11,--,0,--,--,113.2,70.4,77.4,-7,0,0,0,
20.8,0,0,0.11,--,0,--,--,112.9,70.5,77.3,-6.8,0,0,0,
20.8,0,0,0.11,--,0,--,--,112.3,70.5,77.3,-6.8,0,0,0,
20.81,0,0,0.11,--,0,--,--,114.4,69.8,77.3,-7.5,0,0,0,
20.8,0,0,0.11,--,0,--,--,113.3,70,77.3,-7.3,0,0,0,
20.8,0,0,0.11,--,0,--,--,112.7,70.2,77.3,-7.1,0,0,0,
20.8,0,0,0.11,--,0,--,--,113.1,70.4,77.3,-7,0,0,0,
20.9,0,0,0.1,--,0,--,--,114.1,70.4,77.3,-6.9,0,0,1,
20.8,0,0,0.11,--,0,--,--,112.7,70.3,77.3,-7,0,0,0,
20.8,0,0,0.11,--,0,--,--,113.2,70.4,77.4,-7,0,0,0,
20.8,0,0,0.11,--,0,--,--,112.9,70.5,77.3,-6.8,0,0,0,
20.8,0,0,0.11,--,0,--,--,112.3,70.5,77.3,-6.8,0,0,0,
20.81,0,0,0.11,--,0,--,--,114.4,69.8,77.3,-7.5,0,0,0,
20.8,0,0,0.11,--,0,--,--,113.3,70,77.3,-7.3,0,0,0,
20.8,0,0,0.11,--,0,--,--,112.7,70.2,77.3,-7.1,0,0,0,
20.8,0,0,0.11,--,0,--,--,113.1,70.4,77.3,-7,0,0,0,
20.82,0,0,0.1,--,0,--,--,114.1,70.4,77.3,-6.9,0,0,0,
20.8,0,0,0.11,--,0,--,--,112.7,70.3,77.3,-7,0,0,0,
20.8,0,0,0.11,--,0,--,--,113.2,70.4,77.4,-7,0,0,0,
20.8,0,0,0.11,--,0,--,--,112.9,70.5,77.3,-6.8,0,0,0,
20.8,0,0,0.11,--,0,--,--,112.3,70.5,77.3,-6.8,0,0,0,
20.81,0,0,0.11,--,0,--,--,114.4,69.8,77.3,-7.5,0,0,0,
20.8,0,0,0.11,--,0,--,--,113.3,70,77.3,-7.3,0,0,0,
20.8,0,0,0.11,--,0,--,--,112.7,70.2,77.3,-7.1,0,0,0,
20.8,0,0,0.11,--,0,--,--,113.1,70.4,77.3,-7,0,0,0,
20.82,0,0,0.1,--,0,--,--,114.1,70.4,77.3,-6.9,0,0,0,
20.8,0,0,0.11,--,0,--,--,112.7,70.3,77.3,-7,0,0,0,
20.8,0,0,0.11,--,0,--,--,113.2,70.4,77.4,-7,0,0,0,
20.8,0,0,0.11,--,0,--,--,112.9,70.5,77.3,-6.8,0,0,0,
20.8,0,0,0.11,--,0,--,--,112.3,70.5,77.3,-6.8,0,0,0,
20.81,0,0,0.11,--,0,--,--,114.4,69.8,77.3,-7.5,0,0,0,
20.8,0,0,0.11,--,0,--,--,113.3,70,77.3,-7.3,0,0,0,end
