O2 - (%),CO AF,CO - (ppm),CO2 - (%),X Air - (%),Draft - (iwg),NOx,Eff. (eta+) - (%),Eff. (eta) - (%),T flue - (�F),T air - (�F),Delta T (�F),Fan_ON,FLAME,Stead_State,Loop_Data
20.75,0,0,0.14,--,-0.01,--,89.5,98.7,74.9,--,--,0,0,0,
20.78,0,0,0.13,--,-0.008,--,89,98.2,75.1,--,--,0,0,0,
20.79,0,0,0.12,--,-0.008,--,88.6,97.7,75.3,--,--,0,0,0,
20.82,0,0,0.1,--,0,--,85.2,94,77.3,--,--,0,0,0,
20.84,0,0,0.09,--,0.01,--,79.2,87.3,79.5,--,--,0,0,0,
20.9,0,0,0.06,--,0.03,--,71.3,78.4,79.9,--,--,0,0,0,
20.9,0,0,0.06,--,0.039,--,70.4,77.5,80.1,--,--,0,0,0,
20.9,0,0,0.06,--,0.046,--,69.6,76.5,80.3,--,--,0,0,0,
20.9,0,0,0.06,--,0.052,--,69.8,76.8,80.3,--,--,0,0,0,
20.9,0,0,0.06,--,0.057,--,70,77,80.3,--,--,0,0,0,
20.9,0,0,0.06,--,0.061,--,70,77,80.2,--,--,0,0,0,
20.9,0,0,0.06,--,0.063,--,70.5,77.6,80.1,--,--,0,0,0,
20.9,0,0,0.6,--,0.066,--,71.2,78.3,80,--,--,0,0,0,
20.9,0,0,0.06,--,0.065,--,71.1,78.3,79.9,--,--,0,0,0,
20.9,0,0,0.06,--,0.066,--,71.6,78.8,79.8,--,--,0,0,0,
20.9,0,0,0.06,--,0.067,--,72.3,79.5,79.6,--,--,0,0,0,
20.9,0,0,0.06,--,0.068,--,72.9,80.2,79.5,--,--,0,0,0,
20.9,0,0,0.06,--,0.069,--,73.2,80.6,79.3,--,--,0,0,0,
20.9,0,0,0.06,--,0.07,--,74,81.5,79.2,--,--,0,0,0,
20.9,0,0,0.06,--,0.072,--,74.7,82.2,79,--,--,0,1,0,
20.9,0,0,0.06,--,0.072,--,75.1,82.7,78.9,--,--,0,1,0,
20.9,0,0,0.06,--,0.071,--,74.7,82.2,79.1,--,--,0,1,0,
20.9,0,0,0.06,--,0.072,--,74.3,81.8,79.3,--,--,0,1,0,
20.9,0,0,0.06,--,0.072,--,72,79.2,79.8,--,--,0,1,0,
20.9,0,0,0.06,--,0.072,--,71.2,78.4,80,--,--,0,1,0,
17.59,935,145,1.46,703,0.07,--,88.8,98,80.8,--,--,0,1,0,
15.95,863,198,2.37,394,0.069,--,89.1,98.3,81.1,--,--,0,1,0,
13.94,761,256,3.94,197,0.068,--,89.3,98.6,81.7,--,--,0,1,0,
12.25,699,267,4.46,162,0.066,--,89.4,98.6,82.4,--,--,0,1,0,
12.1,630,254,4.93,137,0.064,--,89.4,98.6,84.6,--,--,0,1,0,
11.37,505,232,5.36,118,0.063,--,89.4,98.6,84.9,--,--,0,1,0,
11.28,445,206,5.42,116,0.06,--,89.4,98.6,85.4,--,--,0,1,0,
11.14,388,182,5.49,113,0.059,--,89.3,98.6,87.6,--,--,0,1,0,
11.06,385,171,5.51,112,0.057,--,89.3,98.6,87.7,--,--,0,1,0,
10.9,313,150,5.63,108,0.055,--,89.3,98.6,88.2,--,--,0,1,0,
10.75,289,140,5.69,106,0.053,--,89.3,98.5,90.2,--,--,1,1,0,
10.61,258,117,5.77,103,0.055,--,89.3,98.5,90.7,--,--,1,1,0,
10.48,214,107,5.84,100,0.058,--,89.2,98.4,92.6,--,--,1,1,0,
10.35,188,95,5.92,98,0.06,--,89.2,98.4,92.8,--,--,1,1,0,
10.23,166,85,5.98,95,0.056,--,89.2,98.5,93.1,--,--,1,1,0,
10.11,161,75,6.05,93,0.053,--,89.2,98.5,93.2,--,--,1,1,0,
9.98,141,73,6.12,91,0.048,--,89.3,98.5,93.3,--,--,1,1,0,
9.86,118,62,6.19,89,0.047,--,89.3,98.5,93.2,--,--,1,1,0,
9.76,114,61,6.26,87,0.046,--,89.3,98.5,93.1,--,--,1,1,0,
9.68,108,58,6.3,86,0.049,--,89.3,98.5,92.9,--,--,1,1,0,
9.67,106,57,6.31,85,0.052,--,89.3,98.5,92.8,--,--,1,1,0,
9.6,97,52,6.34,84,0.06,--,89.3,98.5,92.6,--,--,1,1,0,
9.58,94,50,6.36,84,0.063,--,89.3,98.5,92.4,--,--,1,1,0,
9.56,88,47,6.37,84,0.063,--,89.3,98.6,92.2,--,--,1,1,0,
9.54,82,44,6.38,83,0.062,--,89.3,98.6,92,--,--,1,1,0,
9.52,76,42,6.39,83,0.062,--,89.4,98.6,91.8,--,--,1,1,0,
9.5,73,39,6.4,83,0.06,--,89.4,98.6,91.6,--,--,1,1,0,
9.49,68,37,6.41,82,0.058,--,89.4,98.6,91.5,--,--,1,1,0,
9.48,65,35,6.41,82,0.057,--,89.4,98.6,91.4,--,--,1,1,0,
9.48,62,34,6.42,82,0.057,--,89.4,98.6,91.3,--,--,1,1,0,
9.47,59,32,6.43,82,0.057,--,89.4,98.6,91,--,--,1,1,0,
9.46,57,31,6.43,82,0.058,--,89.4,98.6,91,--,--,1,1,0,
9.45,56,31,6.43,82,0.059,--,89.4,98.6,90.9,--,--,1,1,0,
9.43,54,29,6.45,82,0.061,--,89.4,98.6,90.8,--,--,1,1,0,
9.41,52,29,6.46,81,0.06,--,89.4,98.6,90.7,--,--,1,1,0,
9.37,50,28,6.47,81,0.058,--,89.4,98.6,90.6,--,--,1,1,0,
9.35,49,27,6.49,80,0.057,--,89.4,98.7,90.5,--,--,1,1,0,
9.34,48,26,6.49,80,0.056,--,89.4,98.7,90.5,--,--,1,1,0,
9.35,47,26,6.49,80,0.058,--,89.4,98.7,90.4,--,--,1,1,0,
9.34,46,25,6.5,80,0.061,--,89.4,98.7,90.3,--,--,1,1,0,
9.32,45,25,6.5,80,0.061,--,89.4,98.7,90.3,--,--,1,1,0,
9.32,44,25,6.51,80,0.06,--,89.4,98.7,90.2,--,--,1,1,0,
9.3,44,24,6.52,80,0.057,--,89.4,98.7,90.2,--,--,1,1,0,
9.29,43,24,6.52,79,0.054,--,89.4,98.7,90.1,--,--,1,1,0,Loop
9.28,43,24,6.53,79,0.054,--,89.4,98.7,90.1,--,--,1,1,0,
9.28,42,23,6.53,79,0.054,--,89.4,98.7,90.1,--,--,1,1,0,
9.27,41,23,6.53,79,0.051,--,89.4,98.7,90.1,--,--,1,1,0,
9.27,40,23,6.54,79,0.051,--,89.4,98.7,90.1,--,--,1,1,0,
9.28,40,22,6.53,79,0.051,--,89.4,98.7,90.1,--,--,1,1,0,
9.27,40,22,6.53,79,0.05,--,89.4,98.7,90.1,--,--,1,1,0,
9.27,39,22,6.53,79,0.05,--,89.4,98.7,90.1,--,--,1,1,0,
9.28,39,22,6.53,79,0.05,--,89.4,98.7,90.2,--,--,1,1,0,
9.27,39,21,6.53,79,0.057,--,89.4,98.7,90.1,--,--,1,1,0,
9.26,38,21,6.54,79,0.6,--,89.5,98.7,90.1,--,--,1,1,0,
9.25,38,21,6.55,79,0.057,--,89.4,98.7,90.1,--,--,1,1,0,
9.23,37,21,6.56,78,0.056,--,89.5,98.7,90.1,--,--,1,1,0,
9.24,37,21,6.55,79,0.058,--,89.4,98.7,90.1,--,--,1,1,0,
9.24,37,21,6.55,79,0.06,--,89.4,98.7,90.2,--,--,1,1,0,
9.24,36,20,6.55,79,0.059,--,89.5,98.7,90.2,--,--,1,1,0,
9.22,36,20,6.56,78,0.055,--,89.5,98.7,90.2,--,--,1,1,0,
9.22,36,20,6.56,78,0.056,--,89.5,98.7,90.2,--,--,1,1,0,
9.22,35,20,6.56,78,0.057,--,89.5,98.7,90.2,--,--,1,1,0,
9.21,35,20,6.57,78,0.057,--,89.5,98.7,90.2,--,--,1,1,0,
9.18,35,20,6.58,78,0.056,--,89.5,98.7,90.3,--,--,1,1,0,
9.17,35,19,6.59,77,0.055,--,89.5,98.7,90.3,--,--,1,1,1,end
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
